T,X,Y,V,phi,spikes
0,131.94,-78.215,0.62107,3.1416,0
1,131.94,-78.215,0.60535,3.1416,0
2,131.94,-78.215,0.58963,3.1416,0
3,131.94,-78.215,0.57392,3.1416,0
4,131.94,-78.215,0.55821,3.1416,0
5,131.94,-78.215,0.54251,3.1416,0
6,131.94,-78.215,0.52683,3.1416,0
7,131.94,-78.215,0.51116,3.1416,0
8,131.94,-78.215,0.49551,3.1416,0
9,131.94,-78.215,0.47989,3.1416,0
10,131.94,-78.215,0.4643,3.1416,0
11,131.94,-78.215,0.44874,3.1416,0
12,131.94,-78.215,0.43323,3.1416,0
13,131.94,-78.215,0.41776,3.1416,0
14,131.94,-78.215,0.40235,3.1416,0
15,131.93,-78.215,0.38701,3.1416,0
16,131.93,-78.215,0.37174,3.1416,0
17,131.93,-78.215,0.35656,3.1416,0
18,131.93,-78.215,0.34148,3.1416,0
19,131.93,-78.215,0.3265,3.1416,0
20,131.93,-78.215,0.31165,3.1416,0
21,131.93,-78.215,0.29693,3.1416,0
22,131.93,-78.215,0.28236,3.1416,0
23,131.93,-78.215,0.26796,3.1416,0
24,131.93,-78.215,0.25373,3.1416,0
25,131.93,-78.215,0.2397,3.1416,0
26,131.93,-78.215,0.22587,3.1416,0
27,131.93,-78.215,0.21228,3.1416,0
28,131.93,-78.215,0.19893,3.1416,0
29,131.93,-78.215,0.18584,3.1416,0
30,131.93,-78.215,0.17302,3.1416,0
31,131.93,-78.215,0.1605,3.1416,0
32,131.93,-78.215,0.14828,3.1416,0
33,131.93,-78.215,0.13639,3.1416,0
34,131.93,-78.215,0.12484,3.1416,0
35,131.93,-78.215,0.11365,3.1416,0
36,131.93,-78.215,0.10282,3.1416,0
37,131.93,-78.215,0.092381,3.1416,0
38,131.93,-78.215,0.082333,3.1416,0
39,131.93,-78.215,0.072692,3.1416,0
40,131.93,-78.215,0.063468,3.1416,0
41,131.93,-78.215,0.054671,3.1416,0
42,131.93,-78.215,0.046309,3.1416,0
43,131.93,-78.215,0.03839,3.1416,0
44,131.93,-78.215,0.030919,3.1416,0
45,131.93,-78.215,0.0239,3.1416,0
46,131.93,-78.215,0.017337,3.1415,0
47,131.93,-78.215,0.01123,3.1414,0
48,131.93,-78.215,0.0055796,3.1409,0
49,131.93,-78.215,0.00038452,3.127,0
50,131.93,-78.215,0.0043586,0.0018251,0
51,131.93,-78.215,0.0086543,0.0012355,0
52,131.93,-78.215,0.012509,0.0011026,0
53,131.93,-78.215,0.015929,0.0010804,0
54,131.93,-78.215,0.018925,0.0011038,0
55,131.93,-78.215,0.021507,0.0011513,0
56,131.93,-78.215,0.023686,0.0012245,0
57,131.93,-78.215,0.025475,0.0013168,0
58,131.93,-78.215,0.02689,0.001424,0
59,131.93,-78.215,0.027944,0.001543,0
